id;reference;name;description;firmware_version;hardware_version;software_version;serial_number;supported_protocol;created_at;updated_at;plant_area_id;machine_model_id
1;crocus;willfully zowie pyridine;while;impossible;tickle unabashedly;loose since essence;baker authenticity even;subcontractor;2024-03-26T19:17:31;2024-03-27T03:02:04;1;1
2;if once;seemingly if;anti bowdlerise;but rayon tense;degenerate;bah accidentally;lest uh-huh finally;zoo;2024-03-26T17:30:38;2024-03-26T18:35:56;2;2
3;intermesh;beyond;sneaker;detector lest;intuition completion questionnaire;outside throughout;photograph;rifle;2024-03-27T13:37:34;2024-03-27T01:39:24;3;3
4;eviscerate vivaciously gosh;phew;oh;tinkling downright zowie;teepee;hmph;times as;oddball willfully jellyfish;2024-03-26T22:50:05;2024-03-26T20:05:58;4;4
5;close;picture ugh;plod cheerfully gah;oh er;swiftly;along dearest huzzah;how;gravitate;2024-03-27T10:17:17;2024-03-26T21:45:45;5;5
6;oof encircle;however yum except;furiously despite;speedily icy;meanwhile ladder coaxingly;confer busily mammoth;leverage whoa;signpost mechanise postage;2024-03-27T13:28:52;2024-03-27T10:46:44;6;6
7;aw;moose um;however;whenever;fiberglass deceivingly;yum;however pink about;wrongly ha;2024-03-26T23:20:57;2024-03-26T23:32:50;7;7
8;regret;reign yowza;stealthily provided;among;times move;or cautiously;whether;although medicate;2024-03-27T06:56:02;2024-03-26T14:20:55;8;8
9;plus;that even;merrily scrawny;offend unto;maker searchingly furthermore;psst;teeter;mean tandem though;2024-03-27T00:49:41;2024-03-27T02:18:25;9;9
10;transfer per;spectacular er sophomore;forthright;fluffy;whispering sole;popular;ossify provision er;apud view;2024-03-27T00:23:31;2024-03-27T04:03:20;10;10
